,Año,Trimestre,Provincia,Mbps_(Media_De_Bajada),Fecha
99,2023,1,Chaco,104.33,2023-01-01
100,2023,1,Chubut,18.36,2023-01-01
101,2023,1,Córdoba,109.57,2023-01-01
102,2023,1,Corrientes,94.8,2023-01-01
103,2023,1,Entre Ríos,86.71,2023-01-01
104,2023,1,Formosa,73.96,2023-01-01
105,2023,1,Jujuy,42.75,2023-01-01
106,2023,1,La Pampa,20.09,2023-01-01
107,2023,1,La Rioja,63.13,2023-01-01
108,2023,1,Mendoza,41.45,2023-01-01
109,2023,1,Misiones,89.81,2023-01-01
110,2023,1,Neuquén,93.42,2023-01-01
111,2023,1,Río Negro,74.4,2023-01-01
112,2023,1,Salta,76.85,2023-01-01
113,2023,1,San Juan,18.7,2023-01-01
114,2023,1,San Luis,55.85,2023-01-01
115,2023,1,Santa Cruz,14.98,2023-01-01
116,2023,1,Santa Fe,92.22,2023-01-01
117,2023,1,Santiago Del Estero,36.27,2023-01-01
118,2023,1,Tierra Del Fuego,14.58,2023-01-01
119,2023,1,Tucumán,95.79,2023-01-01
120,2022,4,Buenos Aires,111.0,2022-10-01
121,2022,4,Capital Federal,182.86,
122,2022,4,Catamarca,83.33,2022-10-01
123,2022,4,Chaco,104.02,2022-10-01
124,2022,4,Chubut,15.92,2022-10-01
125,2022,4,Córdoba,108.77,2022-10-01
126,2022,4,Corrientes,94.72,2022-10-01
127,2022,4,Entre Ríos,87.47,2022-10-01
128,2022,4,Formosa,72.03,2022-10-01
129,2022,4,Jujuy,39.32,2022-10-01
130,2022,4,La Pampa,19.1,2022-10-01
131,2022,4,La Rioja,61.0,2022-10-01
132,2022,4,Mendoza,38.76,2022-10-01
133,2022,4,Misiones,91.24,2022-10-01
134,2022,4,Neuquén,95.37,2022-10-01
135,2022,4,Río Negro,75.31,2022-10-01
136,2022,4,Salta,75.93,2022-10-01
137,2022,4,San Juan,16.39,2022-10-01
138,2022,4,San Luis,30.67,2022-10-01
139,2022,4,Santa Cruz,14.33,2022-10-01
140,2022,4,Santa Fe,90.3,2022-10-01
141,2022,4,Santiago Del Estero,34.4,2022-10-01
142,2022,4,Tierra Del Fuego,13.48,2022-10-01
143,2022,4,Tucumán,88.33,2022-10-01
144,2022,3,Buenos Aires,70.19,2022-07-01
145,2022,3,Capital Federal,101.05,2022-07-01
146,2022,3,Catamarca,60.99,2022-07-01
147,2022,3,Chaco,53.21,2022-07-01
148,2022,3,Chubut,15.57,2022-07-01
149,2022,3,Córdoba,56.32,2022-07-01
150,2022,3,Corrientes,45.07,2022-07-01
151,2022,3,Entre Ríos,42.49,2022-07-01
152,2022,3,Formosa,30.35,2022-07-01
153,2022,3,Jujuy,32.43,2022-07-01
154,2022,3,La Pampa,18.1,2022-07-01
155,2022,3,La Rioja,44.3,2022-07-01
156,2022,3,Mendoza,34.16,2022-07-01
157,2022,3,Misiones,49.3,2022-07-01
158,2022,3,Neuquén,47.81,2022-07-01
159,2022,3,Río Negro,34.13,2022-07-01
160,2022,3,Salta,41.33,2022-07-01
161,2022,3,San Juan,15.84,2022-07-01
162,2022,3,San Luis,19.33,2022-07-01
163,2022,3,Santa Cruz,12.6,2022-07-01
164,2022,3,Santa Fe,45.15,2022-07-01
165,2022,3,Santiago Del Estero,17.69,2022-07-01
166,2022,3,Tierra Del Fuego,11.01,2022-07-01
167,2022,3,Tucumán,53.36,2022-07-01
168,2022,2,Buenos Aires,65.5,2022-04-01
169,2022,2,Capital Federal,93.97,2022-04-01
170,2022,2,Catamarca,56.56,2022-04-01
171,2022,2,Chaco,50.61,2022-04-01
172,2022,2,Chubut,14.91,2022-04-01
173,2022,2,Córdoba,53.51,2022-04-01
174,2022,2,Corrientes,43.31,2022-04-01
175,2022,2,Entre Ríos,40.03,2022-04-01
176,2022,2,Formosa,28.47,2022-04-01
177,2022,2,Jujuy,29.39,2022-04-01
178,2022,2,La Pampa,16.07,2022-04-01
179,2022,2,La Rioja,43.28,2022-04-01
180,2022,2,Mendoza,29.72,2022-04-01
181,2022,2,Misiones,46.23,2022-04-01
182,2022,2,Neuquén,46.53,2022-04-01
183,2022,2,Río Negro,33.26,2022-04-01
184,2022,2,Salta,38.77,2022-04-01
185,2022,2,San Juan,14.44,2022-04-01
186,2022,2,San Luis,19.32,2022-04-01
187,2022,2,Santa Cruz,11.81,2022-04-01
188,2022,2,Santa Fe,42.01,2022-04-01
189,2022,2,Santiago Del Estero,16.34,2022-04-01
190,2022,2,Tierra Del Fuego,10.97,2022-04-01
191,2022,2,Tucumán,50.09,2022-04-01
192,2022,1,Buenos Aires,62.51,2022-01-01
193,2022,1,Capital Federal,88.22,2022-01-01
194,2022,1,Catamarca,51.22,2022-01-01
195,2022,1,Chaco,45.84,2022-01-01
196,2022,1,Chubut,13.4,2022-01-01
197,2022,1,Córdoba,49.89,2022-01-01
198,2022,1,Corrientes,38.11,2022-01-01
199,2022,1,Entre Ríos,35.59,2022-01-01
200,2022,1,Formosa,30.28,2022-01-01
201,2022,1,Jujuy,27.69,2022-01-01
202,2022,1,La Pampa,14.84,2022-01-01
203,2022,1,La Rioja,41.37,2022-01-01
204,2022,1,Mendoza,26.2,2022-01-01
205,2022,1,Misiones,41.87,2022-01-01
206,2022,1,Neuquén,43.05,2022-01-01
207,2022,1,Río Negro,31.09,2022-01-01
208,2022,1,Salta,36.71,2022-01-01
209,2022,1,San Juan,11.99,2022-01-01
210,2022,1,San Luis,20.95,2022-01-01
211,2022,1,Santa Cruz,10.89,2022-01-01
212,2022,1,Santa Fe,38.89,2022-01-01
213,2022,1,Santiago Del Estero,14.5,2022-01-01
214,2022,1,Tierra Del Fuego,10.73,2022-01-01
215,2022,1,Tucumán,47.24,2022-01-01
216,2021,4,Buenos Aires,60.21,2021-10-01
217,2021,4,Capital Federal,82.95,2021-10-01
218,2021,4,Catamarca,46.38,2021-10-01
219,2021,4,Chaco,42.34,2021-10-01
220,2021,4,Chubut,9.08,2021-10-01
221,2021,4,Córdoba,46.36,2021-10-01
222,2021,4,Corrientes,35.77,2021-10-01
223,2021,4,Entre Ríos,33.32,2021-10-01
224,2021,4,Formosa,28.76,2021-10-01
225,2021,4,Jujuy,27.14,2021-10-01
226,2021,4,La Pampa,13.85,2021-10-01
227,2021,4,La Rioja,39.7,2021-10-01
228,2021,4,Mendoza,22.23,2021-10-01
229,2021,4,Misiones,38.9,2021-10-01
230,2021,4,Neuquén,40.09,2021-10-01
231,2021,4,Río Negro,27.2,2021-10-01
232,2021,4,Salta,33.94,2021-10-01
233,2021,4,San Juan,11.05,2021-10-01
234,2021,4,San Luis,20.91,2021-10-01
235,2021,4,Santa Cruz,8.99,2021-10-01
236,2021,4,Santa Fe,36.02,2021-10-01
237,2021,4,Santiago Del Estero,13.84,2021-10-01
238,2021,4,Tierra Del Fuego,10.7,2021-10-01
239,2021,4,Tucumán,45.15,2021-10-01
240,2021,3,Buenos Aires,56.26,2021-07-01
241,2021,3,Capital Federal,77.71,2021-07-01
242,2021,3,Catamarca,43.43,2021-07-01
243,2021,3,Chaco,39.11,2021-07-01
244,2021,3,Chubut,8.18,2021-07-01
245,2021,3,Córdoba,41.93,2021-07-01
246,2021,3,Corrientes,32.17,2021-07-01
247,2021,3,Entre Ríos,29.6,2021-07-01
248,2021,3,Formosa,26.69,2021-07-01
249,2021,3,Jujuy,25.98,2021-07-01
250,2021,3,La Pampa,12.99,2021-07-01
251,2021,3,La Rioja,38.87,2021-07-01
252,2021,3,Mendoza,13.37,2021-07-01
253,2021,3,Misiones,30.88,2021-07-01
254,2021,3,Neuquén,38.34,2021-07-01
255,2021,3,Río Negro,25.4,2021-07-01
256,2021,3,Salta,31.21,2021-07-01
257,2021,3,San Juan,7.04,2021-07-01
258,2021,3,San Luis,21.7,2021-07-01
259,2021,3,Santa Cruz,7.69,2021-07-01
260,2021,3,Santa Fe,33.13,2021-07-01
261,2021,3,Santiago Del Estero,13.35,2021-07-01
262,2021,3,Tierra Del Fuego,9.52,2021-07-01
263,2021,3,Tucumán,42.1,2021-07-01
264,2021,2,Buenos Aires,52.76,2021-04-01
265,2021,2,Capital Federal,72.75,2021-04-01
266,2021,2,Catamarca,42.19,2021-04-01
267,2021,2,Chaco,37.4,2021-04-01
268,2021,2,Chubut,7.68,2021-04-01
269,2021,2,Córdoba,39.59,2021-04-01
270,2021,2,Corrientes,30.37,2021-04-01
271,2021,2,Entre Ríos,27.62,2021-04-01
272,2021,2,Formosa,23.97,2021-04-01
273,2021,2,Jujuy,25.81,2021-04-01
274,2021,2,La Pampa,12.28,2021-04-01
275,2021,2,La Rioja,38.53,2021-04-01
276,2021,2,Mendoza,13.47,2021-04-01
277,2021,2,Misiones,28.68,2021-04-01
278,2021,2,Neuquén,36.11,2021-04-01
279,2021,2,Río Negro,23.75,2021-04-01
280,2021,2,Salta,29.24,2021-04-01
281,2021,2,San Juan,6.99,2021-04-01
282,2021,2,San Luis,21.66,2021-04-01
283,2021,2,Santa Cruz,7.63,2021-04-01
284,2021,2,Santa Fe,30.7,2021-04-01
285,2021,2,Santiago Del Estero,12.72,2021-04-01
286,2021,2,Tierra Del Fuego,8.59,2021-04-01
287,2021,2,Tucumán,40.31,2021-04-01
288,2021,1,Buenos Aires,50.79,2021-01-01
289,2021,1,Capital Federal,68.29,2021-01-01
290,2021,1,Catamarca,39.97,2021-01-01
