,Año,Trimestre,Provincia,Accesos_Por_Cada_100_Hogares,Fecha
229,2021.0,4.0,Misiones,49.06,2021-10-01
230,2021.0,4.0,Neuquén,73.3,2021-10-01
231,2021.0,4.0,Río Negro,65.69,2021-10-01
232,2021.0,4.0,Salta,56.81,2021-10-01
233,2021.0,4.0,San Juan,39.59,2021-10-01
234,2021.0,4.0,San Luis,80.3,2021-10-01
235,2021.0,4.0,Santa Cruz,43.05,2021-10-01
236,2021.0,4.0,Santa Fe,77.09,2021-10-01
237,2021.0,4.0,Santiago Del Estero,47.05,2021-10-01
238,2021.0,4.0,Tierra Del Fuego,98.4,2021-10-01
239,2021.0,4.0,Tucumán,55.93,2021-10-01
240,2021.0,3.0,Buenos Aires,71.68,2021-07-01
241,2021.0,3.0,Capital Federal,111.27,2021-07-01
242,2021.0,3.0,Catamarca,52.71,2021-07-01
243,2021.0,3.0,Chaco,42.96,2021-07-01
244,2021.0,3.0,Chubut,80.71,2021-07-01
245,2021.0,3.0,Córdoba,81.28,2021-07-01
246,2021.0,3.0,Corrientes,44.9,2021-07-01
247,2021.0,3.0,Entre Ríos,62.18,2021-07-01
248,2021.0,3.0,Formosa,33.96,2021-07-01
249,2021.0,3.0,Jujuy,55.69,2021-07-01
250,2021.0,3.0,La Pampa,84.28,2021-07-01
251,2021.0,3.0,La Rioja,77.26,2021-07-01
252,2021.0,3.0,Mendoza,45.55,2021-07-01
253,2021.0,3.0,Misiones,45.57,2021-07-01
254,2021.0,3.0,Neuquén,69.71,2021-07-01
255,2021.0,3.0,Río Negro,61.97,2021-07-01
256,2021.0,3.0,Salta,55.96,2021-07-01
257,2021.0,3.0,San Juan,39.46,2021-07-01
258,2021.0,3.0,San Luis,79.87,2021-07-01
259,2021.0,3.0,Santa Cruz,43.75,2021-07-01
260,2021.0,3.0,Santa Fe,75.02,2021-07-01
261,2021.0,3.0,Santiago Del Estero,47.0,2021-07-01
262,2021.0,3.0,Tierra Del Fuego,94.95,2021-07-01
263,2021.0,3.0,Tucumán,54.64,2021-07-01
264,2021.0,2.0,Buenos Aires,70.0,2021-04-01
265,2021.0,2.0,Capital Federal,110.14,2021-04-01
266,2021.0,2.0,Catamarca,52.34,2021-04-01
267,2021.0,2.0,Chaco,43.33,2021-04-01
268,2021.0,2.0,Chubut,72.29,2021-04-01
269,2021.0,2.0,Córdoba,80.12,2021-04-01
270,2021.0,2.0,Corrientes,43.54,2021-04-01
271,2021.0,2.0,Entre Ríos,61.66,2021-04-01
272,2021.0,2.0,Formosa,33.23,2021-04-01
273,2021.0,2.0,Jujuy,56.18,2021-04-01
274,2021.0,2.0,La Pampa,82.08,2021-04-01
275,2021.0,2.0,La Rioja,76.98,2021-04-01
276,2021.0,2.0,Mendoza,40.97,2021-04-01
277,2021.0,2.0,Misiones,45.01,2021-04-01
278,2021.0,2.0,Neuquén,69.14,2021-04-01
279,2021.0,2.0,Río Negro,61.94,2021-04-01
280,2021.0,2.0,Salta,54.93,2021-04-01
281,2021.0,2.0,San Juan,39.28,2021-04-01
282,2021.0,2.0,San Luis,83.48,2021-04-01
283,2021.0,2.0,Santa Cruz,44.01,2021-04-01
284,2021.0,2.0,Santa Fe,75.07,2021-04-01
285,2021.0,2.0,Santiago Del Estero,46.56,2021-04-01
286,2021.0,2.0,Tierra Del Fuego,67.89,2021-04-01
287,2021.0,2.0,Tucumán,54.93,2021-04-01
288,2021.0,1.0,Buenos Aires,69.11,2021-01-01
289,2021.0,1.0,Capital Federal,108.42,2021-01-01
290,2021.0,1.0,Catamarca,48.9,2021-01-01
291,2021.0,1.0,Chaco,43.14,2021-01-01
292,2021.0,1.0,Chubut,68.99,2021-01-01
293,2021.0,1.0,Córdoba,78.59,2021-01-01
294,2021.0,1.0,Corrientes,42.66,2021-01-01
295,2021.0,1.0,Entre Ríos,60.44,2021-01-01
296,2021.0,1.0,Formosa,32.73,2021-01-01
297,2021.0,1.0,Jujuy,55.63,2021-01-01
298,2021.0,1.0,La Pampa,81.78,2021-01-01
299,2021.0,1.0,La Rioja,49.81,2021-01-01
300,2021.0,1.0,Mendoza,39.15,2021-01-01
301,2021.0,1.0,Misiones,43.17,2021-01-01
302,2021.0,1.0,Neuquén,66.84,2021-01-01
303,2021.0,1.0,Río Negro,60.88,2021-01-01
304,2021.0,1.0,Salta,53.93,2021-01-01
305,2021.0,1.0,San Juan,39.06,2021-01-01
306,2021.0,1.0,San Luis,81.24,2021-01-01
307,2021.0,1.0,Santa Cruz,41.65,2021-01-01
308,2021.0,1.0,Santa Fe,73.92,2021-01-01
309,2021.0,1.0,Santiago Del Estero,45.67,2021-01-01
310,2021.0,1.0,Tierra Del Fuego,77.35,2021-01-01
311,2021.0,1.0,Tucumán,54.82,2021-01-01
312,2020.0,4.0,Buenos Aires,68.98,2020-10-01
313,2020.0,4.0,Capital Federal,108.31,2020-10-01
314,2020.0,4.0,Catamarca,49.41,2020-10-01
315,2020.0,4.0,Chaco,43.03,2020-10-01
316,2020.0,4.0,Chubut,68.35,2020-10-01
317,2020.0,4.0,Córdoba,78.08,2020-10-01
318,2020.0,4.0,Corrientes,42.43,2020-10-01
319,2020.0,4.0,Entre Ríos,59.47,2020-10-01
320,2020.0,4.0,Formosa,32.49,2020-10-01
321,2020.0,4.0,Jujuy,53.46,2020-10-01
322,2020.0,4.0,La Pampa,81.77,2020-10-01
323,2020.0,4.0,La Rioja,50.11,2020-10-01
324,2020.0,4.0,Mendoza,38.63,2020-10-01
325,2020.0,4.0,Misiones,42.64,2020-10-01
326,2020.0,4.0,Neuquén,67.0,2020-10-01
327,2020.0,4.0,Río Negro,61.09,2020-10-01
328,2020.0,4.0,Salta,54.04,2020-10-01
329,2020.0,4.0,San Juan,36.32,2020-10-01
330,2020.0,4.0,San Luis,81.68,2020-10-01
331,2020.0,4.0,Santa Cruz,37.0,2020-10-01
332,2020.0,4.0,Santa Fe,73.58,2020-10-01
333,2020.0,4.0,Santiago Del Estero,43.75,2020-10-01
334,2020.0,4.0,Tierra Del Fuego,76.27,2020-10-01
335,2020.0,4.0,Tucumán,54.78,2020-10-01
336,2020.0,3.0,Buenos Aires,67.66,2020-07-01
337,2020.0,3.0,Capital Federal,107.68,2020-07-01
338,2020.0,3.0,Catamarca,47.16,2020-07-01
339,2020.0,3.0,Chaco,41.54,2020-07-01
340,2020.0,3.0,Chubut,68.34,2020-07-01
341,2020.0,3.0,Córdoba,75.22,2020-07-01
342,2020.0,3.0,Corrientes,41.75,2020-07-01
343,2020.0,3.0,Entre Ríos,58.19,2020-07-01
344,2020.0,3.0,Formosa,31.91,2020-07-01
345,2020.0,3.0,Jujuy,54.04,2020-07-01
346,2020.0,3.0,La Pampa,79.26,2020-07-01
347,2020.0,3.0,La Rioja,50.12,2020-07-01
348,2020.0,3.0,Mendoza,37.35,2020-07-01
349,2020.0,3.0,Misiones,41.6,2020-07-01
350,2020.0,3.0,Neuquén,65.24,2020-07-01
351,2020.0,3.0,Río Negro,57.05,2020-07-01
352,2020.0,3.0,Salta,52.32,2020-07-01
353,2020.0,3.0,San Juan,38.79,2020-07-01
354,2020.0,3.0,San Luis,79.96,2020-07-01
355,2020.0,3.0,Santa Cruz,35.95,2020-07-01
356,2020.0,3.0,Santa Fe,72.12,2020-07-01
357,2020.0,3.0,Santiago Del Estero,43.38,2020-07-01
358,2020.0,3.0,Tierra Del Fuego,76.81,2020-07-01
359,2020.0,3.0,Tucumán,53.23,2020-07-01
360,2020.0,2.0,Buenos Aires,65.22,2020-04-01
361,2020.0,2.0,Capital Federal,106.41,2020-04-01
362,2020.0,2.0,Catamarca,45.43,2020-04-01
363,2020.0,2.0,Chaco,39.83,2020-04-01
364,2020.0,2.0,Chubut,57.34,2020-04-01
365,2020.0,2.0,Córdoba,72.71,2020-04-01
366,2020.0,2.0,Corrientes,40.3,2020-04-01
367,2020.0,2.0,Entre Ríos,56.54,2020-04-01
368,2020.0,2.0,Formosa,31.14,2020-04-01
369,2020.0,2.0,Jujuy,47.89,2020-04-01
370,2020.0,2.0,La Pampa,76.1,2020-04-01
371,2020.0,2.0,La Rioja,49.84,2020-04-01
372,2020.0,2.0,Mendoza,36.25,2020-04-01
373,2020.0,2.0,Misiones,40.89,2020-04-01
374,2020.0,2.0,Neuquén,63.9,2020-04-01
375,2020.0,2.0,Río Negro,56.37,2020-04-01
376,2020.0,2.0,Salta,51.58,2020-04-01
377,2020.0,2.0,San Juan,35.09,2020-04-01
378,2020.0,2.0,San Luis,78.41,2020-04-01
379,2020.0,2.0,Santa Cruz,35.79,2020-04-01
380,2020.0,2.0,Santa Fe,70.0,2020-04-01
381,2020.0,2.0,Santiago Del Estero,43.47,2020-04-01
382,2020.0,2.0,Tierra Del Fuego,76.37,2020-04-01
383,2020.0,2.0,Tucumán,51.78,2020-04-01
384,2020.0,1.0,Buenos Aires,64.33,2020-01-01
385,2020.0,1.0,Capital Federal,105.98,2020-01-01
386,2020.0,1.0,Catamarca,37.62,2020-01-01
387,2020.0,1.0,Chaco,37.48,2020-01-01
388,2020.0,1.0,Chubut,51.27,2020-01-01
389,2020.0,1.0,Córdoba,70.69,2020-01-01
390,2020.0,1.0,Corrientes,38.73,2020-01-01
391,2020.0,1.0,Entre Ríos,56.12,2020-01-01
392,2020.0,1.0,Formosa,30.23,2020-01-01
393,2020.0,1.0,Jujuy,46.67,2020-01-01
394,2020.0,1.0,La Pampa,75.77,2020-01-01
395,2020.0,1.0,La Rioja,46.35,2020-01-01
396,2020.0,1.0,Mendoza,33.14,2020-01-01
397,2020.0,1.0,Misiones,39.02,2020-01-01
398,2020.0,1.0,Neuquén,61.85,2020-01-01
399,2020.0,1.0,Río Negro,55.12,2020-01-01
400,2020.0,1.0,Salta,49.6,2020-01-01
401,2020.0,1.0,San Juan,32.39,2020-01-01
402,2020.0,1.0,San Luis,76.31,2020-01-01
403,2020.0,1.0,Santa Cruz,35.97,2020-01-01
404,2020.0,1.0,Santa Fe,69.52,2020-01-01
405,2020.0,1.0,Santiago Del Estero,42.47,2020-01-01
406,2020.0,1.0,Tierra Del Fuego,76.07,2020-01-01
407,2020.0,1.0,Tucumán,47.85,2020-01-01
408,2019.0,4.0,Buenos Aires,64.25,2019-10-01
409,2019.0,4.0,Capital Federal,106.25,2019-10-01
410,2019.0,4.0,Catamarca,36.44,2019-10-01
411,2019.0,4.0,Chaco,36.84,2019-10-01
412,2019.0,4.0,Chubut,51.15,2019-10-01
413,2019.0,4.0,Córdoba,70.48,2019-10-01
414,2019.0,4.0,Corrientes,38.77,2019-10-01
415,2019.0,4.0,Entre Ríos,57.99,2019-10-01
416,2019.0,4.0,Formosa,30.47,2019-10-01
417,2019.0,4.0,Jujuy,45.38,2019-10-01
418,2019.0,4.0,La Pampa,76.92,2019-10-01
419,2019.0,4.0,La Rioja,47.14,2019-10-01
420,2019.0,4.0,Mendoza,33.65,2019-10-01
421,2019.0,4.0,Misiones,39.79,2019-10-01
422,2019.0,4.0,Neuquén,59.36,2019-10-01
423,2019.0,4.0,Río Negro,55.71,2019-10-01
424,2019.0,4.0,Salta,50.35,2019-10-01
425,2019.0,4.0,San Juan,32.85,2019-10-01
426,2019.0,4.0,San Luis,74.92,2019-10-01
427,2019.0,4.0,Santa Cruz,36.71,2019-10-01
428,2019.0,4.0,Santa Fe,69.48,2019-10-01
429,2019.0,4.0,Santiago Del Estero,42.92,2019-10-01
430,2019.0,4.0,Tierra Del Fuego,79.7,2019-10-01
431,2019.0,4.0,Tucumán,47.65,2019-10-01
432,2019.0,3.0,Buenos Aires,69.36,2019-07-01
433,2019.0,3.0,Capital Federal,112.65,2019-07-01
434,2019.0,3.0,Catamarca,30.88,2019-07-01
435,2019.0,3.0,Chaco,35.85,2019-07-01
436,2019.0,3.0,Chubut,47.57,2019-07-01
437,2019.0,3.0,Córdoba,68.59,2019-07-01
438,2019.0,3.0,Corrientes,38.49,2019-07-01
439,2019.0,3.0,Entre Ríos,57.9,2019-07-01
440,2019.0,3.0,Formosa,30.11,2019-07-01
441,2019.0,3.0,Jujuy,44.32,2019-07-01
442,2019.0,3.0,La Pampa,77.45,2019-07-01
443,2019.0,3.0,La Rioja,47.94,2019-07-01
444,2019.0,3.0,Mendoza,40.74,2019-07-01
445,2019.0,3.0,Misiones,39.33,2019-07-01
446,2019.0,3.0,Neuquén,64.14,2019-07-01
447,2019.0,3.0,Río Negro,63.42,2019-07-01
448,2019.0,3.0,Salta,44.48,2019-07-01
449,2019.0,3.0,San Juan,37.06,2019-07-01
450,2019.0,3.0,San Luis,85.23,2019-07-01
451,2019.0,3.0,Santa Cruz,35.63,2019-07-01
452,2019.0,3.0,Santa Fe,68.87,2019-07-01
453,2019.0,3.0,Santiago Del Estero,55.3,2019-07-01
454,2019.0,3.0,Tierra Del Fuego,96.46,2019-07-01
455,2019.0,3.0,Tucumán,39.49,2019-07-01
456,2019.0,2.0,Buenos Aires,67.85,2019-04-01
457,2019.0,2.0,Capital Federal,110.55,2019-04-01
458,2019.0,2.0,Catamarca,32.13,2019-04-01
459,2019.0,2.0,Chaco,34.14,2019-04-01
460,2019.0,2.0,Chubut,46.99,2019-04-01
461,2019.0,2.0,Córdoba,68.07,2019-04-01
462,2019.0,2.0,Corrientes,38.16,2019-04-01
463,2019.0,2.0,Entre Ríos,57.48,2019-04-01
464,2019.0,2.0,Formosa,30.42,2019-04-01
465,2019.0,2.0,Jujuy,44.51,2019-04-01
466,2019.0,2.0,La Pampa,77.08,2019-04-01
467,2019.0,2.0,La Rioja,48.7,2019-04-01
468,2019.0,2.0,Mendoza,40.75,2019-04-01
469,2019.0,2.0,Misiones,39.15,2019-04-01
470,2019.0,2.0,Neuquén,63.08,2019-04-01
471,2019.0,2.0,Río Negro,61.09,2019-04-01
472,2019.0,2.0,Salta,41.89,2019-04-01
473,2019.0,2.0,San Juan,35.6,2019-04-01
474,2019.0,2.0,San Luis,81.79,2019-04-01
475,2019.0,2.0,Santa Cruz,28.85,2019-04-01
476,2019.0,2.0,Santa Fe,67.42,2019-04-01
477,2019.0,2.0,Santiago Del Estero,52.79,2019-04-01
478,2019.0,2.0,Tierra Del Fuego,94.8,2019-04-01
479,2019.0,2.0,Tucumán,40.14,2019-04-01
480,2019.0,1.0,Buenos Aires,66.24,2019-01-01
481,2019.0,1.0,Capital Federal,109.2,2019-01-01
482,2019.0,1.0,Catamarca,32.19,2019-01-01
483,2019.0,1.0,Chaco,32.64,2019-01-01
484,2019.0,1.0,Chubut,43.0,2019-01-01
485,2019.0,1.0,Córdoba,65.52,2019-01-01
486,2019.0,1.0,Corrientes,35.13,2019-01-01
487,2019.0,1.0,Entre Ríos,56.79,2019-01-01
488,2019.0,1.0,Formosa,29.68,2019-01-01
