,Año,Trimestre,Provincia,Accesos_Por_Cada_100_Hab,Fecha
258,2021.0,3.0,San Luis,22.86,2021-07-01
259,2021.0,3.0,Santa Cruz,13.02,2021-07-01
260,2021.0,3.0,Santa Fe,23.59,2021-07-01
261,2021.0,3.0,Santiago Del Estero,11.66,2021-07-01
262,2021.0,3.0,Tierra Del Fuego,28.15,2021-07-01
263,2021.0,3.0,Tucumán,13.53,2021-07-01
264,2021.0,2.0,Buenos Aires,23.35,2021-04-01
266,2021.0,2.0,Catamarca,13.31,2021-04-01
267,2021.0,2.0,Chaco,11.58,2021-04-01
268,2021.0,2.0,Chubut,22.16,2021-04-01
269,2021.0,2.0,Córdoba,24.53,2021-04-01
270,2021.0,2.0,Corrientes,11.47,2021-04-01
271,2021.0,2.0,Entre Ríos,18.44,2021-04-01
272,2021.0,2.0,Formosa,8.46,2021-04-01
273,2021.0,2.0,Jujuy,14.37,2021-04-01
274,2021.0,2.0,La Pampa,27.04,2021-04-01
275,2021.0,2.0,La Rioja,20.49,2021-04-01
276,2021.0,2.0,Mendoza,11.43,2021-04-01
277,2021.0,2.0,Misiones,12.26,2021-04-01
278,2021.0,2.0,Neuquén,20.58,2021-04-01
279,2021.0,2.0,Río Negro,19.05,2021-04-01
280,2021.0,2.0,Salta,13.3,2021-04-01
281,2021.0,2.0,San Juan,10.01,2021-04-01
282,2021.0,2.0,San Luis,23.89,2021-04-01
283,2021.0,2.0,Santa Cruz,13.1,2021-04-01
284,2021.0,2.0,Santa Fe,23.6,2021-04-01
285,2021.0,2.0,Santiago Del Estero,11.55,2021-04-01
286,2021.0,2.0,Tierra Del Fuego,20.13,2021-04-01
287,2021.0,2.0,Tucumán,13.61,2021-04-01
288,2021.0,1.0,Buenos Aires,23.0,2021-01-01
290,2021.0,1.0,Catamarca,12.44,2021-01-01
291,2021.0,1.0,Chaco,11.53,2021-01-01
292,2021.0,1.0,Chubut,21.15,2021-01-01
293,2021.0,1.0,Córdoba,24.06,2021-01-01
294,2021.0,1.0,Corrientes,11.23,2021-01-01
295,2021.0,1.0,Entre Ríos,18.07,2021-01-01
296,2021.0,1.0,Formosa,8.33,2021-01-01
297,2021.0,1.0,Jujuy,14.23,2021-01-01
298,2021.0,1.0,La Pampa,26.94,2021-01-01
299,2021.0,1.0,La Rioja,13.26,2021-01-01
300,2021.0,1.0,Mendoza,10.93,2021-01-01
301,2021.0,1.0,Misiones,11.76,2021-01-01
302,2021.0,1.0,Neuquén,19.9,2021-01-01
303,2021.0,1.0,Río Negro,18.72,2021-01-01
304,2021.0,1.0,Salta,13.06,2021-01-01
305,2021.0,1.0,San Juan,9.95,2021-01-01
306,2021.0,1.0,San Luis,23.25,2021-01-01
307,2021.0,1.0,Santa Cruz,12.39,2021-01-01
308,2021.0,1.0,Santa Fe,23.24,2021-01-01
309,2021.0,1.0,Santiago Del Estero,11.33,2021-01-01
310,2021.0,1.0,Tierra Del Fuego,22.93,2021-01-01
311,2021.0,1.0,Tucumán,13.58,2021-01-01
312,2020.0,4.0,Buenos Aires,22.9,2020-10-01
314,2020.0,4.0,Catamarca,12.57,2020-10-01
315,2020.0,4.0,Chaco,11.5,2020-10-01
316,2020.0,4.0,Chubut,20.95,2020-10-01
317,2020.0,4.0,Córdoba,23.9,2020-10-01
318,2020.0,4.0,Corrientes,11.17,2020-10-01
319,2020.0,4.0,Entre Ríos,17.78,2020-10-01
320,2020.0,4.0,Formosa,8.27,2020-10-01
321,2020.0,4.0,Jujuy,13.67,2020-10-01
322,2020.0,4.0,La Pampa,26.94,2020-10-01
323,2020.0,4.0,La Rioja,13.34,2020-10-01
324,2020.0,4.0,Mendoza,10.78,2020-10-01
325,2020.0,4.0,Misiones,11.61,2020-10-01
326,2020.0,4.0,Neuquén,19.94,2020-10-01
327,2020.0,4.0,Río Negro,18.79,2020-10-01
328,2020.0,4.0,Salta,13.09,2020-10-01
329,2020.0,4.0,San Juan,9.25,2020-10-01
330,2020.0,4.0,San Luis,23.38,2020-10-01
331,2020.0,4.0,Santa Cruz,11.01,2020-10-01
332,2020.0,4.0,Santa Fe,23.14,2020-10-01
333,2020.0,4.0,Santiago Del Estero,10.86,2020-10-01
334,2020.0,4.0,Tierra Del Fuego,22.61,2020-10-01
335,2020.0,4.0,Tucumán,13.57,2020-10-01
336,2020.0,3.0,Buenos Aires,22.41,2020-07-01
338,2020.0,3.0,Catamarca,12.0,2020-07-01
339,2020.0,3.0,Chaco,11.1,2020-07-01
340,2020.0,3.0,Chubut,20.95,2020-07-01
341,2020.0,3.0,Córdoba,23.03,2020-07-01
342,2020.0,3.0,Corrientes,10.99,2020-07-01
343,2020.0,3.0,Entre Ríos,17.4,2020-07-01
344,2020.0,3.0,Formosa,8.12,2020-07-01
345,2020.0,3.0,Jujuy,13.82,2020-07-01
346,2020.0,3.0,La Pampa,26.12,2020-07-01
347,2020.0,3.0,La Rioja,13.34,2020-07-01
348,2020.0,3.0,Mendoza,10.42,2020-07-01
349,2020.0,3.0,Misiones,11.33,2020-07-01
350,2020.0,3.0,Neuquén,19.42,2020-07-01
351,2020.0,3.0,Río Negro,17.55,2020-07-01
352,2020.0,3.0,Salta,12.67,2020-07-01
353,2020.0,3.0,San Juan,9.88,2020-07-01
354,2020.0,3.0,San Luis,22.88,2020-07-01
355,2020.0,3.0,Santa Cruz,10.7,2020-07-01
356,2020.0,3.0,Santa Fe,22.68,2020-07-01
357,2020.0,3.0,Santiago Del Estero,10.76,2020-07-01
358,2020.0,3.0,Tierra Del Fuego,22.77,2020-07-01
359,2020.0,3.0,Tucumán,13.18,2020-07-01
360,2020.0,2.0,Buenos Aires,21.55,2020-04-01
362,2020.0,2.0,Catamarca,11.56,2020-04-01
363,2020.0,2.0,Chaco,10.65,2020-04-01
364,2020.0,2.0,Chubut,17.58,2020-04-01
365,2020.0,2.0,Córdoba,22.26,2020-04-01
366,2020.0,2.0,Corrientes,10.61,2020-04-01
367,2020.0,2.0,Entre Ríos,16.9,2020-04-01
368,2020.0,2.0,Formosa,7.93,2020-04-01
369,2020.0,2.0,Jujuy,12.25,2020-04-01
370,2020.0,2.0,La Pampa,25.07,2020-04-01
371,2020.0,2.0,La Rioja,13.27,2020-04-01
372,2020.0,2.0,Mendoza,10.12,2020-04-01
373,2020.0,2.0,Misiones,11.14,2020-04-01
374,2020.0,2.0,Neuquén,19.02,2020-04-01
375,2020.0,2.0,Río Negro,17.34,2020-04-01
376,2020.0,2.0,Salta,12.49,2020-04-01
377,2020.0,2.0,San Juan,8.94,2020-04-01
378,2020.0,2.0,San Luis,22.44,2020-04-01
379,2020.0,2.0,Santa Cruz,10.65,2020-04-01
380,2020.0,2.0,Santa Fe,22.01,2020-04-01
381,2020.0,2.0,Santiago Del Estero,10.79,2020-04-01
382,2020.0,2.0,Tierra Del Fuego,22.64,2020-04-01
383,2020.0,2.0,Tucumán,12.83,2020-04-01
384,2020.0,1.0,Buenos Aires,21.21,2020-01-01
386,2020.0,1.0,Catamarca,9.57,2020-01-01
387,2020.0,1.0,Chaco,10.02,2020-01-01
388,2020.0,1.0,Chubut,15.72,2020-01-01
389,2020.0,1.0,Córdoba,21.64,2020-01-01
390,2020.0,1.0,Corrientes,10.2,2020-01-01
391,2020.0,1.0,Entre Ríos,16.78,2020-01-01
392,2020.0,1.0,Formosa,7.69,2020-01-01
393,2020.0,1.0,Jujuy,11.93,2020-01-01
394,2020.0,1.0,La Pampa,24.96,2020-01-01
395,2020.0,1.0,La Rioja,12.34,2020-01-01
396,2020.0,1.0,Mendoza,9.25,2020-01-01
397,2020.0,1.0,Misiones,10.63,2020-01-01
398,2020.0,1.0,Neuquén,18.41,2020-01-01
399,2020.0,1.0,Río Negro,16.95,2020-01-01
400,2020.0,1.0,Salta,12.01,2020-01-01
401,2020.0,1.0,San Juan,8.25,2020-01-01
402,2020.0,1.0,San Luis,21.84,2020-01-01
403,2020.0,1.0,Santa Cruz,10.7,2020-01-01
404,2020.0,1.0,Santa Fe,21.86,2020-01-01
405,2020.0,1.0,Santiago Del Estero,10.54,2020-01-01
406,2020.0,1.0,Tierra Del Fuego,22.55,2020-01-01
407,2020.0,1.0,Tucumán,11.85,2020-01-01
408,2019.0,4.0,Buenos Aires,21.14,2019-10-01
410,2019.0,4.0,Catamarca,9.27,2019-10-01
411,2019.0,4.0,Chaco,9.85,2019-10-01
412,2019.0,4.0,Chubut,15.68,2019-10-01
413,2019.0,4.0,Córdoba,21.58,2019-10-01
414,2019.0,4.0,Corrientes,10.21,2019-10-01
415,2019.0,4.0,Entre Ríos,17.34,2019-10-01
416,2019.0,4.0,Formosa,7.76,2019-10-01
417,2019.0,4.0,Jujuy,11.6,2019-10-01
418,2019.0,4.0,La Pampa,25.34,2019-10-01
419,2019.0,4.0,La Rioja,12.55,2019-10-01
420,2019.0,4.0,Mendoza,9.39,2019-10-01
421,2019.0,4.0,Misiones,10.84,2019-10-01
422,2019.0,4.0,Neuquén,17.67,2019-10-01
423,2019.0,4.0,Río Negro,17.13,2019-10-01
424,2019.0,4.0,Salta,12.2,2019-10-01
425,2019.0,4.0,San Juan,8.37,2019-10-01
426,2019.0,4.0,San Luis,21.44,2019-10-01
427,2019.0,4.0,Santa Cruz,10.92,2019-10-01
428,2019.0,4.0,Santa Fe,21.85,2019-10-01
429,2019.0,4.0,Santiago Del Estero,10.65,2019-10-01
430,2019.0,4.0,Tierra Del Fuego,23.63,2019-10-01
431,2019.0,4.0,Tucumán,11.8,2019-10-01
432,2019.0,3.0,Buenos Aires,22.76,2019-07-01
434,2019.0,3.0,Catamarca,7.86,2019-07-01
435,2019.0,3.0,Chaco,9.58,2019-07-01
436,2019.0,3.0,Chubut,14.58,2019-07-01
437,2019.0,3.0,Córdoba,21.0,2019-07-01
438,2019.0,3.0,Corrientes,10.13,2019-07-01
439,2019.0,3.0,Entre Ríos,17.31,2019-07-01
440,2019.0,3.0,Formosa,7.66,2019-07-01
441,2019.0,3.0,Jujuy,11.33,2019-07-01
442,2019.0,3.0,La Pampa,25.52,2019-07-01
443,2019.0,3.0,La Rioja,12.76,2019-07-01
444,2019.0,3.0,Mendoza,11.37,2019-07-01
445,2019.0,3.0,Misiones,10.71,2019-07-01
446,2019.0,3.0,Neuquén,19.09,2019-07-01
447,2019.0,3.0,Río Negro,19.51,2019-07-01
448,2019.0,3.0,Salta,10.77,2019-07-01
449,2019.0,3.0,San Juan,9.44,2019-07-01
450,2019.0,3.0,San Luis,24.39,2019-07-01
451,2019.0,3.0,Santa Cruz,10.6,2019-07-01
452,2019.0,3.0,Santa Fe,21.66,2019-07-01
453,2019.0,3.0,Santiago Del Estero,13.73,2019-07-01
454,2019.0,3.0,Tierra Del Fuego,28.6,2019-07-01
455,2019.0,3.0,Tucumán,9.78,2019-07-01
